t,pCAMx,pCAMy,pCAMz,qCAMx,qCAMy,qCAMz,qCAMw,p1x,p1y,p1z,q1x,q1y,q1z,q1w,p2x,p2y,p2z,q2x,q2y,q2z,q2w,p3x,p3y,p3z,q3x,q3y,q3z,q3w,p4x,p4y,p4z,q4x,q4y,q4z,q4w,p5x,p5y,p5z,q5x,q5y,q5z,q5w,p6x,p6y,p6z,q6x,q6y,q6z,q6w,p7x,p7y,p7z,q7x,q7y,q7z,q7w,p8x,p8y,p8z,q8x,q8y,q8z,q8w,p9x,p9y,p9z,q9x,q9y,q9z,q9w,p10x,p10y,p10z,q10x,q10y,q10z,q10w,p11x,p11y,p11z,q11x,q11y,q11z,q11w,p12x,p12y,p12z,q12x,q12y,q12z,q12w
0.350163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.264143,0.373145,-0.005022,-0.40813352,-0.41882644,0.73019411,0.35331007,0.113790,0.304070,0.379268,0.68873543,0.21528340,0.62447294,0.29888145,-0.337098,0.406959,0.002497,-0.03147450,0.00179508,0.89122766,0.45245927,,,,,,,,,,,,,,,,,,,,,
0.358500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.254061,0.373248,-0.015236,-0.41578983,-0.42377709,0.72339558,0.35246366,-0.299532,0.388493,-0.000593,-0.39593869,-0.44587578,0.72448958,0.34574874,-0.333446,0.402509,-0.003438,-0.03871426,0.00425343,0.89011557,0.45406760,,,,,,,,,,,,,,,,,,,,,
0.366837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094919,0.294687,0.337797,0.28847168,-0.15022615,0.72354195,0.60885404,-0.301418,0.387863,0.001871,-0.39602156,-0.45260221,0.72299412,0.33999656,-0.347122,0.407708,0.013352,-0.03374331,0.01096354,0.89186641,0.45090519,,,,,,,,,,,,,,,,,,,,,
0.375174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.254120,0.373079,-0.014714,-0.03541260,-0.01016990,0.89233529,0.44986693,-0.297560,0.389144,-0.003611,-0.38909894,-0.43784110,0.73285184,0.34615801,-0.351835,0.405799,0.020104,-0.02624489,0.00998787,0.89328971,0.44860332,,,,,,,,,,,,,,,,,,,,,
0.383511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.264209,0.373305,-0.004865,-0.02769271,-0.00224008,0.89398772,0.44722931,-0.311808,0.388059,0.013928,-0.03276385,0.00801807,0.89223121,0.45031734,-0.329062,0.410296,-0.000316,-0.37096542,-0.43308357,0.73638231,0.36409390,,,,,,,,,,,,,,,,,,,,,
0.391849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.264209,0.373305,-0.004865,-0.02769271,-0.00224008,0.89398772,0.44722931,-0.309371,0.383622,0.009482,-0.03367435,0.00213039,0.89446400,0.44586507,-0.332958,0.409530,0.005829,-0.37222374,-0.44791958,0.72982254,0.35801760,,,,,,,,,,,,,,,,,,,,,
0.400186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087445,0.303727,0.333607,0.69062765,0.20585286,0.62328635,0.30359869,0.109543,0.306735,0.376868,0.68886525,0.20717533,0.62566216,0.30181105,-0.337197,0.407146,0.012162,-0.02126830,0.01749917,0.89117506,0.45282277,,,,,,,,,,,,,,,,,,,,,
0.408523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087445,0.303727,0.333607,0.69062765,0.20585286,0.62328635,0.30359869,-0.297550,0.389305,-0.003344,-0.04849900,0.00077146,0.89149765,0.45042112,-0.335318,0.406865,-0.000594,-0.38502923,-0.43790291,0.73180149,0.35278906,,,,,,,,,,,,,,,,,,,,,
0.416860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.259848,0.372185,-0.006369,-0.02848724,-0.00054974,0.89130073,0.45251650,-0.299797,0.388486,-0.000384,-0.03799015,0.00887601,0.89048601,0.45333501,-0.339677,0.412859,0.016810,-0.38177961,-0.43928121,0.72827495,0.36178992,,,,,,,,,,,,,,,,,,,,,
0.425197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.259553,0.372805,-0.005900,-0.42469606,-0.44595509,0.70497861,0.35179890,-0.299846,0.388491,-0.000641,-0.39588701,-0.44581375,0.72453511,0.34579248,-0.335078,0.408529,0.008874,-0.02050940,0.00879415,0.88846560,0.45840037,,,,,,,,,,,,,,,,,,,,,
0.433535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.256618,0.373043,-0.010550,-0.02888224,-0.00796295,0.89340372,0.44825461,-0.299846,0.388491,-0.000641,-0.39588701,-0.44581375,0.72453511,0.34579248,-0.332859,0.403689,0.004584,-0.02126547,0.00280074,0.89087376,0.45374429,,,,,,,,,,,,,,,,,,,,,
